word,count
교육,148
유해화학물질,129
취급,100
관련,83
화학물질관리법,77
사업,76
문의,76
안전교육,76
경우,70
이수,67
화학물질,63
관리자,61
종사,58
해당,55
진행,55
질의,53
담당자,52
답변,52
코로나,51
실시,48
관리,45
업무,45
교육대상,41
상황,41
대상,39
현재,39
영업,38
시행,38
대한,34
온라인,34
모든,33
인원,33
기관,33
화학물질안전원,32
이상,32
내용,31
포함,30
대해,29
규칙,29
사용,28
업체,28
허가,28
사항,28
인력,28
환경부,27
법정,26
발생,26
시간,25
법적,25
요청,25
저희,24
환경,24
회사,24
직원,24
확인,23
기간,23
기술,23
여부,23
안녕하십니까,23
당사,23
직접,22
검토,21
안전,21
유예,21
대하,20
사람,20
위해,20
비대,20
또한,20
신청,20
집합,20
기준,19
작업,19
노고,19
완료,19
과정,19
취급시설,18
수료,18
근무,18
일정,18
선임,17
시스템,17
문제,17
모두,17
추가,17
상태,17
대상자,16
아래,16
기존,16
변경,16
계획,16
올해,16
방법,15
현장,15
근로자,15
확산,15
검사,14
때문,14
장소,14
수강,14
운영,14
어려움,14
상기,14
집체,14
거리,14
하나,13
예방,13
매년,13
설치,13
생각,13
다른,13
개인,13
협회,13
취소,13
연기,13
민원,13
두기,13
사회,13
생산,12
정기,12
계속,12
면제,12
안내,12
의거,12
온라인교육,12
본인,12
문의사항,12
통해,12
부분,12
처리,12
년도,12
대응,12
공장,12
매우,12
여기,12
이해,12
다시,12
금년,12
출입,11
사내,11
인지,11
수고,11
만약,11
제출,11
진자,11
현실,11
지속,11
중단,11
예정,11
감염,11
담당,10
운반자,10
기사,10
운반,10
규정,10
물질,10
하루,10
다음,10
관계,10
공사,10
범위,10
언제,10
강사,10
질문,10
명시,10
의무,10
대체,10
지정,10
단계,10
도급,9
정도,9
인증,9
협력,9
시기,9
설비,9
신규,9
장외영향평가,9
이기,9
가동,9
이후,9
강의,9
가지,9
따라서,9
대면,9
취득,9
과태료,9
교육과정,9
실정,9
접수,9
인정,9
방안,9
구분,8
부령,8
별표,8
제외,8
홈페이지,8
오프라인,8
준수,8
조항,8
일부,8
별도,8
다만,8
별로,8
이유,8
한번,8
참고,8
센터,8
근거,8
대부분,8
컴퓨터,8
입장,8
첨부,8
결과,8
기한,8
자격,8
제한,8
준비,8
최근,8
자료,8
주시,8
전국,8
지역,8
지침,8
혹시,8
수행,7
보수,7
조건,7
방문,7
외부,7
판단,7
사고,7
기업,7
작성,7
필요,7
수질,7
마찬가지,7
주관,7
적용,7
우려,7
위험,7
소량,7
수가,7
신고,7
개월,7
사태,7
증가,7
국가,7
부서,6
법규,6
계약,6
식당,6
자체,6
건물,6
교육인,6
시점,6
점검,6
하나요,6
개정,6
사자,6
공지,6
의무교육,6
방식,6
연결,6
피해,6
특성,6
노트북,6
낭비,6
등록,6
여러,6
가스,6
한국,6
자도,6
필수,6
동안,6
연장,6
사유,6
전혀,6
유선,6
출장,6
사원,6
유해,6
내년,6
고용,6
공정,6
화학,6
화학사,6
이내,6
항상,6
교육장,6
거나,6
차원,6
조치,6
최소,6
참석,6
연말,6
제품,5
일반,5
각각,5
경비,5
발주,5
페이지,5
활용,5
국내,5
동영상,5
제공,5
종류,5
용역,5
공급,5
산업,5
보건,5
시약,5
가량,5
해석,5
사실,5
뿐더러,5
소규모,5
거의,5
유지,5
지방,5
서도,5
가장,5
제대로,5
한계,5
평가,5
보이,5
등등,5
인정이,5
최초,5
접속,5
전체,5
부과,5
지금,5
위반,5
회신,5
투입,5
고시,5
관해,5
실험실,5
시험,5
전부,5
참여,5
대비,5
실제,5
불가,5
전화,5
이수자,5
항의,5
실질,5
해외,5
연일,5
이용,5
하반기,5
이동,5
방지,5
격상,5
일자,5
정부,5
보관,4
물류,4
협조,4
판매업,4
감사,4
현황,4
안내서,4
택배,4
가입,4
외국인,4
수급,4
소로,4
통한,4
문자,4
건설,4
위탁,4
불구,4
파견,4
오니,4
연구소,4
간이,4
입사,4
소속,4
이로,4
생기,4
당사자,4
얼굴,4
횟수,4
관심,4
무조건,4
상대,4
최대,4
새벽,4
나이,4
반복,4
발열,4
역할,4
배제,4
대기,4
대신,4
사업자,4
보이지,4
행위,4
이점,4
다라,4
전달,4
대표,4
도중,4
이외,4
보조,4
신분,4
만큼,4
주말,4
태블릿,4
부처,4
집중,4
굳이,4
기계,4
처럼,4
접촉,4
바람,4
이번,4
리스크,4
휴가,4
의미,4
상주,4
심사,4
역시,4
저장,4
자의,4
휴직,4
전환,4
장내,4
목적,4
시설,4
제목,4
밀폐,4
제조업,4
국민,4
군민,4
부득이,4
연락,4
신문고,4
정해진,4
화학물,4
부담,4
고용노동부,4
반드시,4
고려,4
로서,4
사이트,4
개별,4
반영,4
책임자,4
호의,4
이하,4
가능,4
개설,4
작성자,4
진행중,4
증설,4
여명,4
부탁,4
정의,4
정책,4
보고,4
영향,4
해주시,4
교육자,4
상반기,4
집단,4
경영,4
완화,4
방역,4
부터,4
납품,3
선정,3
서로,3
컨텐츠,3
회원,3
평소,3
가이드,3
하도급,3
버스,3
절차,3
기록,3
채용,3
하니,3
분류,3
법률,3
연안,3
수시,3
당시,3
얹짢,3
대학생,3
고스,3
제일,3
억지로,3
핑계,3
실시간,3
기도,3
디바이스,3
커녕,3
계시,3
창업,3
부정,3
하락,3
균열,3
혼자,3
학생,3
하나로,3
화재,3
시공간,3
배터리,3
주섬주섬,3
다행,3
아마,3
향상,3
누군가,3
대감,3
시선,3
능력,3
스마트폰,3
후자,3
과중,3
감점,3
장만,3
융통성,3
특장점,3
무리,3
세분,3
따위,3
명목,3
장문,3
초기,3
주니,3
증대,3
오히려,3
유도,3
허락,3
달라,3
학습,3
실습,3
모이,3
감시,3
설명,3
대기업,3
무려,3
배속,3
수명,3
눈꼽,3
보호복,3
수도,3
중간,3
객관,3
성적,3
포터블,3
장점,3
카메라,3
처사,3
화장실,3
허투루,3
유시,3
장착,3
교조,3
중시,3
불만,3
차라리,3
중견,3
산소,3
하루하루,3
유일,3
불편,3
화가,3
주일,3
치가,3
리튬이온,3
달리,3
라이브,3
영상,3
잠깐,3
오해,3
아무,3
장시간,3
공유,3
유난,3
감정,3
기분,3
납득,3
수업,3
가족,3
용이,3
손해,3
규모,3
구태여,3
형평성,3
케이스,3
가면,3
연동,3
방해,3
제시,3
작고,3
공단,3
사의,3
정지,3
이송,3
체결,3
운전,3
핸드폰,3
로부터,3
이행,3
보험,3
종업원,3
지급,3
모바일,3
중소기업,3
운송,3
효과,3
하라,3
수산화나트륨,3
제조,3
사용자,3
식품,3
바로,3
명의,3
당일,3
심정,3
호소,3
유독물질,3
그냥,3
훈련,3
유권해석,3
비상,3
활동,3
보아,3
환경청,3
자가,3
요구,3
건강,3
감독,3
지원,3
대표이사,3
배관,3
이슈,3
어디,3
번호,3
지난,3
형태,3
한지,3
발행,3
한시,3
차수,3
증빙,3
마감,3
정상,3
유행,3
교대,3
강화,3
파일,3
한정,3
전염병,3
참가,3
당초,3
공문,3
얼마,3
조정,3
소재,3
경기도,3
교육비,2
청소,2
사무직,2
단순,2
미팅,2
오류,2
직전,2
게시,2
소지,2
휴대폰,2
운영자,2
사가,2
차고,2
출퇴근,2
우체부,2
산등,2
질산,2
제작,2
이름,2
크게,2
상위,2
시작,2
처가,2
확정,2
연구,2
퇴사,2
부설,2
배치,2
연구시설,2
