substance,안전원고시 제2020-7호[고시],안전원고시 제2020-6호[고시],안전원고시 제2020-9호[고시],안전원고시 제2020-8호[고시],안전원고시 제2020-5호[고시],안전원고시 제2020-10호[고시],안전원고시 제2019-11호[고시],안전원고시 제2020-11호[고시],안전원고시 제2020-12호[고시],안전원고시 제2021-2호[고시],안전원고시 제2021-3호[고시],안전원고시 제2022-2호[고시],안전원고시 제2021-5호[고시],안전원고시 제2021-1호[고시],안전원고시 제2021-7호[규정],안전원고시 제2021-2호[규정],안전원고시 제2021-3호[규정],안전원고시 제2021-8호[규정],안전원고시 제2021-9호[규정],장외영향평가서 작성 등에 관한 규정,위해관리계획서 작성 등에 관한 규정
기타(추출 안됨),75,97,21,140,360,8,6,47,25,6,1,0,181,427,61,0,22,60,7,103,62
가솔린,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
가연성물질,3,1,0,0,7,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0
경유,1,1,0,3,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2
계면활성제,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
고무,0,1,1,2,4,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0
고체화학,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
과산화물,2,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,1,0,1,0
과산화수소,4,13,0,19,35,0,0,3,0,0,0,0,13,38,2,0,2,2,0,7,4
과산화수소수,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
과염소산,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
구리,2,1,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
규소,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
글라스,2,1,1,0,8,0,0,0,0,0,0,0,15,22,0,0,2,0,0,5,0
글리세린,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
글리콜,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
나이트로벤젠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
나트륨,15,75,2,58,88,2,1,8,0,1,0,0,36,132,11,0,3,12,1,25,9
나프탈렌,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
난연재,1,1,0,2,4,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
납괴,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
냉각수,1,2,0,1,12,0,0,0,0,0,0,0,2,9,0,0,0,0,0,1,2
냉매,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
농약,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
니스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
니켈,2,1,0,0,9,0,1,0,0,1,0,0,7,14,2,0,1,1,0,2,2
니코틴,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0
도료,3,1,1,12,9,2,1,0,0,0,0,0,4,9,1,0,0,1,0,1,1
도시가스,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
독물,17,11,1,17,59,3,3,4,1,1,0,0,21,77,14,0,4,17,2,17,8
등유,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
디메틸,3,1,1,1,6,2,0,0,0,0,0,0,3,4,0,0,0,0,0,2,0
디메틸티,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
디실란,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
디에틸,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
디에틸에테르,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
디옥틸스타닐렌,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
디옥틸프탈레이트,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
